,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-07-16 06:08:16+00:00,0,0,0,0,0,0,17,0,0,6,30,43,1,16,51,0,10,0,28,4,0,1,0,0,230,2,0,27,23,35,69,20,30,0,0,0,0
2020-07-14 22:37:57+00:00,8,0,0,0,0,5,0,2,0,33,0,29,3,39,12,0,0,0,23,0,0,0,0,92,128,0,0,14,9,14,15,28,9,0,0,0,0
2020-07-13 22:39:07+00:00,0,0,0,8,0,0,5,5,-1,0,0,47,0,0,99,3,13,0,27,5,0,1,0,0,156,8,0,4,22,17,141,10,20,0,3,0,0
2020-07-12 22:21:05+00:00,0,0,11,0,2,14,0,0,4,0,108,53,14,0,38,0,0,0,11,6,14,0,0,19,152,0,10,7,46,14,20,17,11,0,0,0,0
2020-07-11 22:46:43+00:00,3,10,0,0,0,0,0,0,0,11,0,85,3,7,105,3,27,0,32,0,0,0,0,0,224,0,0,17,64,19,17,17,14,0,0,0,0
2020-07-10 22:43:29+00:00,1,0,0,0,0,0,0,2,0,11,5,31,0,30,68,3,0,3,39,1,9,0,0,0,224,0,10,0,0,0,85,2,49,0,0,0,0
2020-07-09 22:30:56+00:00,1,0,22,0,0,17,0,21,0,14,0,59,1,8,17,0,3,0,18,11,18,0,0,4,157,2,1,6,56,2,31,19,10,0,0,1,0
2020-07-08 22:53:07+00:00,0,1,0,20,3,13,0,8,0,38,0,14,0,13,26,3,4,0,6,20,0,0,0,10,150,0,2,7,0,12,43,18,49,0,0,0,0
2020-07-07 22:33:41+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-06 22:34:12+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-05 22:36:43+00:00,2,10,8,0,0,11,0,0,0,0,65,30,1,0,28,7,0,0,10,4,25,0,0,0,199,0,0,31,46,0,47,15,2,0,3,0,0
2020-07-04 22:35:34+00:00,1,0,0,0,0,0,0,13,0,62,0,87,0,15,73,0,0,0,20,2,0,3,0,0,135,4,6,47,16,17,15,19,67,1,0,0,0
2020-07-03 22:52:17+00:00,31,0,0,0,4,0,32,14,0,16,0,63,0,15,60,2,0,0,17,5,1,0,1,0,87,8,0,29,41,0,19,9,0,0,0,0,0
2020-07-02 22:52:18+00:00,31,5,18,0,7,0,0,8,0,18,0,38,0,15,85,4,0,0,13,0,0,0,0,34,193,0,0,29,28,21,41,11,26,1,0,0,0
2020-07-01 22:54:03+00:00,10,0,0,0,2,29,6,0,0,166,0,60,0,66,65,4,20,0,39,41,21,2,0,18,120,0,0,43,33,0,11,0,32,0,0,2,0
2020-06-30 22:50:20+00:00,8,0,0,0,3,7,0,2,0,0,0,119,0,0,52,0,14,1,52,5,6,3,0,0,200,0,32,19,16,3,8,11,0,0,0,0,0
2020-06-29 22:23:35+00:00,0,0,0,2,0,13,12,5,0,53,43,24,0,0,26,11,15,0,11,11,2,0,0,0,166,7,0,25,32,8,66,34,0,0,0,0,0
